time,open,high,low,close,Volume,Volume MA
2007-10-25T09:30:00-04:00,33,35,28.89,29.82001,7486914,NaN
2007-10-26T09:30:00-04:00,29.69,32.98,29.25,32,1625582,NaN
2007-10-29T09:30:00-04:00,34,35,32.64999,34.7,667813,NaN
2007-10-30T09:30:00-04:00,35.22,35.60001,33,35.42999,455543,NaN
2007-10-31T09:30:00-04:00,34.92999,35.63,32.95,34.2,393584,2125887.2
2007-11-01T09:30:00-04:00,33.5,33.5,32.14,32.73,453876,719279.6
2007-11-02T09:30:00-04:00,32.74001,32.97,31.52,32.42,275937,449350.6
2007-11-05T09:30:00-05:00,31.61,32.25,31.11,31.5,342379,384263.8
2007-11-06T09:30:00-05:00,31.50999,31.89999,31.35001,31.42999,223066,337768.4
2007-11-07T09:30:00-05:00,31.3,31.3,29.25,29.35001,525585,364168.6
2007-11-08T09:30:00-05:00,29.25,30.14999,29.25,30,411088,355611
2007-11-09T09:30:00-05:00,29.64999,30.08,29.06,29.89999,213304,343084.4
2007-11-12T09:30:00-05:00,29.67,31.16,29.03999,29.03999,112874,297183.4
2007-11-13T09:30:00-05:00,29.3,30,28.41,29.13,236667,299903.6
2007-11-14T09:30:00-05:00,29.16,30.25,29.10001,29.95,244425,243671.6
2007-11-15T09:30:00-05:00,29.71001,30.69,29.71001,30.2,76798,176813.6
2007-11-16T09:30:00-05:00,30.2,30.7,30,30.69,88818,151916.4
2007-11-19T09:30:00-05:00,30.05,30.69,28.75,29.19,238207,176983
2007-11-20T09:30:00-05:00,29.71001,29.72,25.25999,27,742895,278228.6
2007-11-21T09:30:00-05:00,26.33,26.41,23.25999,24.35001,810361,391415.8
2007-11-23T09:30:00-05:00,23.74001,24.24001,22.85001,24.17,100153,396086.8
2007-11-26T09:30:00-05:00,24.77,25.33,24,24.2,233800,425083.2
2007-11-27T09:30:00-05:00,24.44,25,23.8,23.87,211115,419664.8
2007-11-28T09:30:00-05:00,24.47,25.31,24.2,24.85001,417363,354558.4
2007-11-29T09:30:00-05:00,24.49001,25.02,24.19,24.78999,341654,260817
2007-11-30T09:30:00-05:00,25,26.23,24.75999,25.74001,199068,280600
2007-12-03T09:30:00-05:00,25.98,26.75,25.55,26.3,319191,297678.2
2007-12-04T09:30:00-05:00,26.28999,26.66,25.73,25.85001,180419,291539
2007-12-05T09:30:00-05:00,26.08,26.75,26.00999,26.53999,168430,241752.4
2007-12-06T09:30:00-05:00,26.55,27.5,26.55,27.49001,102070,193835.6
2007-12-07T09:30:00-05:00,27.67,28.85001,27.66,27.98,103190,174660
2007-12-10T09:30:00-05:00,28.23,28.53,26.53,27.5,281467,167115.2
2007-12-11T09:30:00-05:00,26.5,26.78999,19.35001,20.91,3591083,849248
2007-12-12T09:30:00-05:00,21.12,21.85001,18.41,19.55,1121328,1039827.6
2007-12-13T09:30:00-05:00,19.55,19.75999,17.53,18.56,1190276,1257468.8
2007-12-14T09:30:00-05:00,18.7,18.7,18.10001,18.55,173455,1271521.8
2007-12-17T09:30:00-05:00,18.60001,18.60001,17.41,17.86,161501,1247528.6
2007-12-18T09:30:00-05:00,18,18,17.12,17.7,220884,573488.8
2007-12-19T09:30:00-05:00,17.81,17.92,17.10001,17.75,143351,377893.4
2007-12-20T09:30:00-05:00,17.75,17.75,16.5,16.75,252613,190360.8
2007-12-21T09:30:00-05:00,17,17.14999,15.6,16.58,1079970,371663.8
2007-12-24T09:30:00-05:00,16.74001,16.83,16.2336,16.8,189595,377282.6
2007-12-26T09:30:00-05:00,16.7,17.95,16.41,17.35001,270613,387228.4
2007-12-27T09:30:00-05:00,17.25,17.45,17,17.27,123358,383229.8
2007-12-28T09:30:00-05:00,17.25999,17.48,16.89999,17.10001,236445,379996.2
2007-12-31T09:30:00-05:00,17,17.35001,16.88,17.14999,515246,267051.4
2008-01-02T09:30:00-05:00,17,17.10001,16.23,16.55,213031,271738.6
2008-01-03T09:30:00-05:00,16.24001,16.86,15.05,15.5,296493,276914.6
2008-01-04T09:30:00-05:00,15.75,15.75,14.49,14.49,334323,319107.6
2008-01-07T09:30:00-05:00,14.56,14.75,11.83,12.52,993206,470459.8
2008-01-08T09:30:00-05:00,12.8,13.75,12.35,13.55,703928,508196.2
2008-01-09T09:30:00-05:00,13.49,14.5,13.39,14.5,1019745,669539
2008-01-10T09:30:00-05:00,14.35,16.25999,14.35,16.07001,1232662,856772.8
2008-01-11T09:30:00-05:00,15.7,16,15.21,15.8,417765,873461.2
2008-01-14T09:30:00-05:00,15.77,16.41,15.58,16.05,237893,722398.6
2008-01-15T09:30:00-05:00,15.65,16.06,15.58,15.61,291563,639925.6
2008-01-16T09:30:00-05:00,15.6,16.33,15.59,15.91,297034,495383.4
2008-01-17T09:30:00-05:00,15.83,15.92,14.39,14.76,188877,286626.4
2008-01-18T09:30:00-05:00,14.66,14.74,12,12.5,951079,393289.2
2008-01-22T09:30:00-05:00,12,12.86,11.775,12.58,1503690,646448.6
2008-01-23T09:30:00-05:00,12.28,14.5,12.27,14.25,391619,666459.8
2008-01-24T09:30:00-05:00,14.3,14.55,13.99,14.3,579310,722915
2008-01-25T09:30:00-05:00,14.53,15.68,14.25,15.19,340111,753161.8
2008-01-28T09:30:00-05:00,15.11,15.76,14.83,15.5,212308,605407.6
2008-01-29T09:30:00-05:00,15.5,16.60001,15.14,16.35001,233901,351449.8
2008-01-30T09:30:00-05:00,16.11,16.53,15.49,15.55,330010,339128
2008-01-31T09:30:00-05:00,15.4,15.77,15.21,15.24,281690,279604
2008-02-01T09:30:00-05:00,15.55,15.68,14.1,14.75,374970,286575.8
2008-02-04T09:30:00-05:00,14.63,14.8799,13.882,14.03,189300,281974.2
2008-02-05T09:30:00-05:00,13.71,14.19,13.69,14,165919,268377.8
2008-02-06T09:30:00-05:00,14.04,14.75,14,14.2,92123,220800.4
2008-02-07T09:30:00-05:00,14.15,16.25,13.93,15.92,243424,213147.2
2008-02-08T09:30:00-05:00,15.75,15.78,15.12,15.55,395631,217279.4
2008-02-11T09:30:00-05:00,15.55,15.6,14.79,15.09,125144,204448.2
2008-02-12T09:30:00-05:00,15.14,15.86,14.8,14.91,123590,195982.4
2008-02-13T09:30:00-05:00,15.02,15.08,14.5,14.93,147478,207053.4
2008-02-14T09:30:00-05:00,14.99,15.09,14.33,14.79,174501,193268.8
2008-02-15T09:30:00-05:00,14.74,14.79,14.44,14.79,67064,127555.4
2008-02-19T09:30:00-05:00,15.05,16.03999,14.75,14.78,119370,126400.6
2008-02-20T09:30:00-05:00,14.74,15,14.4,14.92,72220,116126.6
2008-02-21T09:30:00-05:00,15.06,15.53,14.76,14.78,123519,111334.8
2008-02-22T09:30:00-05:00,14.79,14.88,13.49,14,155277,107490
2008-02-25T09:30:00-05:00,14.28,14.3,13.9,14.15,275205,149118.2
2008-02-26T09:30:00-05:00,14.08,15.48,14.08,15.17,141379,153520
2008-02-27T09:30:00-05:00,14.96,14.96,14.64,14.82,106448,160365.6
2008-02-28T09:30:00-05:00,15.04,15.05,14.5801,14.62,192409,174143.6
2008-02-29T09:30:00-05:00,14.5,14.68,13.79,14.01,155863,174260.8
2008-03-03T09:30:00-05:00,14.25,15.1,14.25,14.75,269544,173128.6
2008-03-04T09:30:00-05:00,14.57,14.94,14.03,14.32,65716,157996
2008-03-05T09:30:00-05:00,14.42,14.79,14.08,14.44,110225,158751.4
2008-03-06T09:30:00-05:00,14.34,14.45,14,14.3,121343,144538.2
2008-03-07T09:30:00-05:00,14.09,14.31,13.42,13.48,117930,136951.6
2008-03-10T09:30:00-04:00,13.5,13.66,12.5,12.69,228666,128776
